iter	Passed	Remaining
0	2	246
1	4	237
2	8	270
3	10	254
4	12	245
5	15	236
6	17	229
7	19	223
8	22	226
9	27	243
10	29	236
11	31	232
12	34	228
13	37	228
14	41	232
15	43	228
16	45	223
17	48	219
18	50	216
19	53	214
20	56	211
21	58	207
22	60	202
23	62	198
24	65	197
25	68	194
26	70	191
27	73	187
28	75	184
29	78	184
30	82	182
31	85	182
32	87	178
33	89	174
34	92	170
35	94	168
36	98	167
37	100	163
38	102	159
39	104	156
40	106	153
41	107	148
42	109	145
43	112	143
44	114	139
45	116	136
46	118	133
47	121	131
48	125	130
49	127	127
50	129	124
51	131	121
52	133	118
53	136	116
54	138	113
55	140	110
56	142	107
57	144	104
58	146	102
59	149	99
60	153	98
61	156	95
62	158	92
63	160	90
64	164	88
65	168	86
66	171	84
67	173	81
68	175	78
69	178	76
70	180	73
71	183	71
72	185	68
73	187	65
74	189	63
75	192	60
76	194	58
77	198	55
78	200	53
79	203	50
80	206	48
81	209	46
82	216	44
83	218	41
84	220	38
85	223	36
86	228	34
87	231	31
88	233	28
89	235	26
90	237	23
91	239	20
92	242	18
93	244	15
94	246	12
95	248	10
96	250	7
97	253	5
98	257	2
99	259	0
