iter	Passed	Remaining
0	151	151173
1	156	78265
2	162	53842
3	166	41556
4	171	34160
5	175	29142
6	180	25638
7	185	23045
8	190	20995
9	195	19336
10	200	17992
11	204	16865
12	210	15960
13	215	15143
14	219	14403
15	224	13814
16	229	13280
17	234	12788
18	239	12368
19	244	11981
20	249	11629
21	254	11328
22	257	10935
23	259	10572
24	262	10234
25	265	9939
26	268	9671
27	271	9413
28	273	9155
29	275	8895
30	276	8647
31	278	8428
32	280	8220
33	282	8023
34	283	7826
35	285	7645
36	287	7469
37	288	7304
38	289	7144
39	291	6984
40	292	6834
41	294	6706
42	295	6582
43	297	6455
44	298	6328
45	299	6203
46	299	6082
47	300	5968
48	301	5860
49	303	5768
50	304	5675
51	306	5579
52	306	5485
53	308	5399
54	310	5333
55	312	5265
56	313	5188
57	314	5110
58	315	5032
59	316	4957
60	317	4885
61	318	4816
62	319	4750
63	320	4687
64	321	4625
65	322	4567
66	325	4527
67	327	4483
68	328	4426
69	329	4372
70	330	4319
71	331	4267
72	332	4218
73	333	4169
74	334	4120
75	335	4073
76	336	4029
77	338	3997
78	340	3970
79	341	3929
80	342	3889
81	343	3850
82	344	3806
83	345	3770
84	347	3735
85	348	3700
86	349	3664
87	350	3628
88	351	3597
89	354	3581
90	355	3551
91	356	3518
92	357	3486
93	358	3454
94	359	3424
95	360	3393
96	361	3363
97	362	3333
98	363	3303
99	363	3275
100	364	3247
101	365	3222
102	367	3203
103	369	3182
104	370	3160
105	371	3134
106	372	3109
107	373	3085
108	374	3060
109	375	3037
110	376	3013
111	377	2990
112	378	2968
113	378	2945
114	379	2923
115	381	2907
116	382	2888
117	384	2870
118	385	2850
119	386	2831
120	387	2811
121	387	2791
122	388	2771
123	389	2752
124	390	2733
125	391	2715
126	392	2695
127	392	2677
128	393	2659
129	394	2643
130	396	2633
131	398	2620
132	399	2603
133	400	2587
134	401	2572
135	402	2556
136	403	2540
137	404	2525
138	405	2509
139	406	2494
140	407	2482
141	408	2465
142	409	2452
143	411	2444
144	412	2432
145	413	2419
146	414	2405
147	415	2391
148	416	2377
149	417	2364
150	418	2350
151	418	2337
152	419	2324
153	420	2311
154	421	2298
155	422	2286
156	423	2274
157	425	2267
158	426	2258
159	428	2247
160	428	2233
161	429	2222
162	430	2210
163	431	2198
164	432	2188
165	433	2177
166	434	2166
167	435	2155
